event_id,delivery_id,driver_id,status,status_timestamp,gps_lat,gps_lng,ingested_at
EVT-00072,DEL-0036,,in_transit,2026-09-01T03:30:00,31.55729,-8.04905,2026-09-07 21:52:52.898655
EVT-00521,DEL-10006,DRV-029,delivered,2026-09-06T13:47:33.459480,31.62858,-8.00743,2026-09-07 21:52:52.898655
EVT-00443,DEL-0221,DRV-009,in_transit,2026-09-04T01:50:00,31.67274,-7.95509,2026-09-07 21:52:52.898655
EVT-00145,DEL-0076,,picked_up,2026-09-08T13:47:33.454824,31.61453,-8.01533,2026-09-07 21:52:52.898655
EVT-00213,DEL-0106,,picked_up,2026-09-03T03:00:00,31.55263,-7.96826,2026-09-07 21:52:52.898655
EVT-00326,DEL-0164,DRV-001,picked_up,2026-09-02T02:00:00,31.63184,-8.04608,2026-09-07 21:52:52.898655
EVT-00298,DEL-0148,,picked_up,2026-09-02T03:00:00,31.55705,-7.97058,2026-09-07 21:52:52.898655
EVT-00438,DEL-0219,DRV-009,in_transit,2026-09-08T13:47:33.458442,31.60052,-8.02287,2026-09-07 21:52:52.898655
EVT-00003,DEL-0002,,in_transit,2026-09-04T04:25:00,31.57797,-8.01471,2026-09-07 21:52:52.898655
EVT-00516,DEL-10001,DRV-027,in_transit,2026-09-06T13:47:33.459467,31.6592,-8.03457,2026-09-07 21:52:52.898655
EVT-00377,DEL-0189,,picked_up,2026-09-03T03:00:00,31.56351,-7.98819,2026-09-07 21:52:52.898655
EVT-00311,DEL-0155,,picked_up,2026-09-04T02:00:00,31.58597,-8.01405,2026-09-07 21:52:52.898655
EVT-00250,DEL-0124,DRV-030,delivered,2026-09-08T13:47:33.456011,31.56157,-8.03896,2026-09-07 21:52:52.898655
EVT-00519,DEL-10004,DRV-022,in_transit,2026-09-06T13:47:33.459475,31.67675,-8.03642,2026-09-07 21:52:52.898655
EVT-00165,DEL-0085,,picked_up,2026-09-05T03:00:00,31.64245,-7.95316,2026-09-07 21:52:52.898655
EVT-00266,DEL-0131,DRV-013,delivered,2026-09-08T13:47:33.456183,31.56182,-7.98958,2026-09-07 21:52:52.898655
